playerId,season,name,team,position,situation,games_played,goals,rebounds,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerGoals,mediumDangerGoals,highDangerGoals,penalityMinutes,penalties
8478048,2022,Igor Shesterkin,NYR,G,other,58,10,7,38,45,21,0,5,5,0,0
8478048,2022,Igor Shesterkin,NYR,G,all,58,144,157,1676,520,178,53,45,46,2,1
8478048,2022,Igor Shesterkin,NYR,G,5on5,58,102,123,1401,418,113,52,29,21,2,1
8478048,2022,Igor Shesterkin,NYR,G,4on5,58,28,23,188,46,38,1,9,18,0,0
8478048,2022,Igor Shesterkin,NYR,G,5on4,58,3,2,34,8,4,0,1,2,0,0
8478872,2022,Karel Vejmelka,ARI,G,other,50,10,9,51,39,13,1,6,3,0,0
8478872,2022,Karel Vejmelka,ARI,G,all,50,168,155,1641,547,173,53,64,51,2,1
8478872,2022,Karel Vejmelka,ARI,G,5on5,50,106,108,1255,396,96,43,41,22,2,1
8478872,2022,Karel Vejmelka,ARI,G,4on5,50,48,37,302,100,58,8,15,25,0,0
8478872,2022,Karel Vejmelka,ARI,G,5on4,50,3,1,28,11,6,1,1,1,0,0
8479979,2022,Jake Oettinger,DAL,G,other,62,8,13,83,31,11,2,4,2,0,0
8479979,2022,Jake Oettinger,DAL,G,all,62,144,146,1907,480,138,49,57,38,2,1
8479979,2022,Jake Oettinger,DAL,G,5on5,62,102,111,1531,363,99,40,40,22,2,1
8479979,2022,Jake Oettinger,DAL,G,4on5,62,26,20,238,63,23,4,8,14,0,0
8479979,2022,Jake Oettinger,DAL,G,5on4,62,4,1,45,14,4,1,3,0,0,0
8477968,2022,Alex Nedeljkovic,DET,G,other,15,3,1,17,9,2,0,2,1,0,0
8477968,2022,Alex Nedeljkovic,DET,G,all,15,49,45,501,110,37,24,13,12,2,1
8477968,2022,Alex Nedeljkovic,DET,G,5on5,15,33,41,405,85,28,17,9,7,2,1
8477968,2022,Alex Nedeljkovic,DET,G,4on5,15,10,3,62,14,5,4,2,4,0,0
8477968,2022,Alex Nedeljkovic,DET,G,5on4,15,3,0,17,2,2,3,0,0,0,0
8477967,2022,Thatcher Demko,VAN,G,other,32,5,1,21,13,2,0,5,0,0,0
8477967,2022,Thatcher Demko,VAN,G,all,32,99,88,1019,276,95,31,41,27,4,2
8477967,2022,Thatcher Demko,VAN,G,5on5,32,64,70,836,218,67,22,27,15,4,2
8477967,2022,Thatcher Demko,VAN,G,4on5,32,24,16,132,31,23,8,6,10,0,0
8477967,2022,Thatcher Demko,VAN,G,5on4,32,5,0,27,9,2,1,2,2,0,0
8476999,2022,Linus Ullmark,BOS,G,other,49,5,14,98,44,19,0,2,3,0,0
8476999,2022,Linus Ullmark,BOS,G,all,49,91,131,1463,398,141,24,33,34,2,1
8476999,2022,Linus Ullmark,BOS,G,5on5,49,64,99,1139,289,92,21,25,18,2,1
8476999,2022,Linus Ullmark,BOS,G,4on5,49,19,17,191,53,23,2,5,12,0,0
8476999,2022,Linus Ullmark,BOS,G,5on4,49,3,1,35,12,7,1,1,1,0,0
8478009,2022,Ilya Sorokin,NYI,G,other,62,8,8,58,35,13,0,6,2,0,0
8478009,2022,Ilya Sorokin,NYI,G,all,62,140,219,1912,486,209,45,57,38,0,0
8478009,2022,Ilya Sorokin,NYI,G,5on5,62,103,166,1581,381,154,39,40,24,0,0
8478009,2022,Ilya Sorokin,NYI,G,4on5,62,22,41,227,50,35,6,6,10,0,0
8478009,2022,Ilya Sorokin,NYI,G,5on4,62,6,3,41,16,6,0,4,2,0,0
8480280,2022,Jeremy Swayman,BOS,G,other,37,8,9,50,27,14,1,6,1,0,0
8480280,2022,Jeremy Swayman,BOS,G,all,37,76,96,953,308,105,24,33,19,2,1
8480280,2022,Jeremy Swayman,BOS,G,5on5,37,50,74,752,219,71,20,21,9,2,1
8480280,2022,Jeremy Swayman,BOS,G,4on5,37,15,13,127,42,16,3,5,7,0,0
8480280,2022,Jeremy Swayman,BOS,G,5on4,37,3,0,21,13,4,0,1,2,0,0
8476945,2022,Connor Hellebuyck,WPG,G,other,64,7,12,65,44,16,2,4,1,0,0
8476945,2022,Connor Hellebuyck,WPG,G,all,64,157,184,1915,576,189,47,61,49,0,0
8476945,2022,Connor Hellebuyck,WPG,G,5on5,64,115,142,1543,442,119,40,49,26,0,0
8476945,2022,Connor Hellebuyck,WPG,G,4on5,64,31,28,250,80,47,5,6,20,0,0
8476945,2022,Connor Hellebuyck,WPG,G,5on4,64,4,2,56,10,7,0,2,2,0,0
8476883,2022,Andrei Vasilevskiy,TBL,G,other,60,12,4,58,37,18,4,5,3,0,0
8476883,2022,Andrei Vasilevskiy,TBL,G,all,60,159,173,1795,551,193,54,56,49,0,0
8476883,2022,Andrei Vasilevskiy,TBL,G,5on5,60,110,137,1399,423,128,40,42,28,0,0
8476883,2022,Andrei Vasilevskiy,TBL,G,4on5,60,30,28,280,69,41,8,7,15,0,0
8476883,2022,Andrei Vasilevskiy,TBL,G,5on4,60,6,3,50,19,5,2,1,3,0,0
8478007,2022,Elvis Merzlikins,CBJ,G,other,30,8,2,24,14,6,2,3,3,0,0
8478007,2022,Elvis Merzlikins,CBJ,G,all,30,110,85,934,226,92,43,38,29,4,2
8478007,2022,Elvis Merzlikins,CBJ,G,5on5,30,82,68,766,167,67,35,28,19,4,2
8478007,2022,Elvis Merzlikins,CBJ,G,4on5,30,17,14,118,39,16,3,7,7,0,0
8478007,2022,Elvis Merzlikins,CBJ,G,5on4,30,2,1,25,5,3,2,0,0,0,0
8480867,2022,Kevin Mandolese,OTT,G,other,3,0,0,4,3,0,0,0,0,0,0
8480867,2022,Kevin Mandolese,OTT,G,all,3,10,11,119,42,11,4,3,3,0,0
8480867,2022,Kevin Mandolese,OTT,G,5on5,3,7,7,88,27,6,3,1,3,0,0
8480867,2022,Kevin Mandolese,OTT,G,4on5,3,2,3,25,10,3,1,1,0,0,0
8480867,2022,Kevin Mandolese,OTT,G,5on4,3,1,1,2,2,2,0,1,0,0,0
8482137,2022,Yaroslav Askarov,NSH,G,other,1,1,0,2,1,0,1,0,0,0,0
8482137,2022,Yaroslav Askarov,NSH,G,all,1,4,6,33,12,6,1,3,0,0,0
8482137,2022,Yaroslav Askarov,NSH,G,5on5,1,1,6,29,9,6,0,1,0,0,0
8482137,2022,Yaroslav Askarov,NSH,G,4on5,1,2,0,0,2,0,0,2,0,0,0
8482137,2022,Yaroslav Askarov,NSH,G,5on4,1,0,0,2,0,0,0,0,0,0,0
8480981,2022,Joel Hofer,STL,G,other,6,3,0,10,2,0,2,1,0,0,0
8480981,2022,Joel Hofer,STL,G,all,6,17,11,172,50,14,8,5,4,0,0
8480981,2022,Joel Hofer,STL,G,5on5,6,6,8,130,42,5,4,2,0,0,0
