season,name,team,position,games_played,icetime,goalsFor,penaltiesFor,penalityMinutesFor,hitsFor,takeawaysFor,giveawaysFor,goalsAgainst,penaltiesAgainst,penalityMinutesAgainst
2022,Lindell-Hakanp,DAL,pairing,70,49810,40,50,109,374,98,119,33,44,95
2022,Leddy-Krug,STL,pairing,31,1736,3,0,0,8,4,3,1,4,8
2022,Rodrigues-Compher-Rantanen,COL,line,20,7113,4,9,18,35,11,12,5,4,8
2022,Werenski-Gudbranson,CBJ,pairing,13,2195,4,1,2,11,5,3,2,2,4
2022,Sheary-Strome-Ovechkin,WSH,line,35,16182,11,12,24,115,44,39,9,12,24
2022,Letang-Rutta,PIT,pairing,20,1014,1,0,0,16,1,4,0,2,4
2022,Cicek-Karlsson,SJS,pairing,13,1191,1,2,4,7,4,3,0,1,2
2022,Cotter-Roy-Kolesar,VGK,line,14,2438,3,1,2,30,8,4,1,1,2
2022,Kiersted-Ekblad,FLA,pairing,10,920,1,2,4,3,1,2,2,1,2
2022,Smith-Stephenson-Kessel,VGK,line,14,622,0,0,0,6,3,1,0,0,0
2022,Anderson-Dolan-Lizotte-Grundstrom,LAK,line,13,2244,3,1,2,26,3,12,2,1,2
2022,Anderson-Doughty,LAK,pairing,70,73656,51,69,152,505,110,164,42,93,194
2022,Dillon-Heinola,WPG,pairing,10,2241,1,3,6,18,6,6,4,2,4
2022,Deslauriers-Cates-Konecny,PHI,line,12,649,2,0,0,4,2,1,1,1,2
2022,Perron-Veleno-Berggren,DET,line,16,3662,1,3,6,19,8,6,1,7,16
2022,Hanifin-Tanev,CGY,pairing,55,15554,16,12,24,110,37,28,13,12,24
2022,Myers-Schenn,VAN,pairing,21,1504,1,3,6,11,6,2,0,0,0
2022,Tanev-Geekie-Donato,SEA,line,13,1688,0,4,8,14,7,1,2,3,6
2022,Middleton-Goligoski,MIN,pairing,14,767,1,0,0,3,1,1,1,1,2
2022,Tkachuk-Bennett-Cousins,FLA,line,12,1288,2,1,2,6,3,4,2,0,0
2022,Foudy-Sillinger-Bemstrom,CBJ,line,13,2839,1,2,4,15,6,3,3,1,2
2022,Tatar-Hughes-Bratt,NJD,line,32,1868,5,1,2,3,8,5,2,2,2
2022,Siegenthaler-Bahl,NJD,pairing,19,1122,0,2,4,10,2,4,0,0,0
2022,Carrier-Roy-Kessel,VGK,line,18,755,1,0,0,5,2,0,1,0,0
2022,Ruzicka-Lindholm-Toffoli,CGY,line,16,5163,6,9,24,38,17,14,3,9,24
2022,Boeser-Miller-Garland,VAN,line,15,2331,1,0,0,11,5,4,2,4,8
2022,Sundqvist-Suter-Zadina,DET,line,11,4436,4,5,8,25,7,8,1,3,6
2022,Foegele-Draisaitl-Hyman,EDM,line,14,2030,3,1,2,14,7,5,2,1,2
2022,Mccabe-Jones,CHI,pairing,38,28001,22,28,63,195,80,70,23,24,51
2022,Girard-Macdonald,COL,pairing,11,719,0,0,0,3,2,2,2,1,2
2022,Jarnkrok-Matthews-Marner,TOR,line,14,1600,2,2,4,13,4,5,0,1,2
2022,Niemelainen-Barrie,EDM,pairing,21,5655,5,6,12,61,8,28,4,9,20
2022,Robinson-Sillinger-Bemstrom,CBJ,line,10,1414,0,1,2,21,2,1,1,0,0
2022,Newhook-Compher-Kaut,COL,line,14,726,1,0,0,2,2,0,0,0,0
2022,Kerfoot-Tavares-Marner,TOR,line,27,4017,4,4,8,39,14,24,1,2,4
2022,Tatar-Hischier-Mercer,NJD,line,25,11582,13,5,10,38,25,31,7,8,16
2022,Lafrenire-Trocheck-Vesey,NYR,line,14,981,0,1,2,14,3,4,1,2,4
2022,Huberdeau-Kadri-Toffoli,CGY,line,23,1237,2,0,0,14,2,3,0,0,0
2022,Hertl-Bonino-Meier,SJS,line,10,1626,1,1,2,2,6,5,1,0,0
2022,Pilut-Fitzgerald,BUF,pairing,11,4442,3,4,8,19,8,6,6,5,10
2022,Chabot-Zub,OTT,pairing,37,27515,24,39,85,299,45,84,21,30,66
2022,Harpur-Mikkola,NYR,pairing,10,695,1,0,0,7,2,0,2,0,0
2022,Perron-Larkin-Raymond,DET,line,23,6626,2,3,6,40,12,17,5,9,16
2022,Forsberg-Parssinen-Duchene,NSH,line,20,2287,2,4,8,19,6,4,3,1,2
2022,Dillon-Pionk,WPG,pairing,63,32812,19,44,105,276,74,69,27,39,95
2022,Nyquist-Sillinger-Johnson,CBJ,line,11,1334,2,1,2,10,0,2,1,1,2
2022,Hagel-Point-Killorn,TBL,line,20,638,2,0,0,4,4,3,0,1,2
2022,Palat-Hischier-Mercer,NJD,line,14,1351,0,1,2,6,5,2,0,1,2
2022,Barron-Lowry-Gagner,WPG,line,18,3206,3,8,19,47,4,5,1,4,11
2022,Farabee-Cates-Macewen,PHI,line,11,662,0,0,0,6,1,0,0,1,0
2022,Olofsson-Cozens-Mittelstadt,BUF,line,15,1305,2,2,4,2,3,4,1,2,4
2022,Dahlin-Lyubushkin,BUF,pairing,43,3324,5,5,10,14,10,5,2,7,14
2022,Holden-Brannstrom,OTT,pairing,40,20304,10,26,64,221,45,53,13,36,89
2022,Mikkola-Schneider,NYR,pairing,16,6867,6,10,20,64,13,28,4,5,10
2022,Boeser-Pettersson-Mikheyev,VAN,line,14,3871,4,2,7,20,6,8,4,1,5
2022,Makar-Johnson,COL,pairing,29,1711,2,2,4,7,5,5,1,1,2
2022,Saad-O'Reilly-Acciari,STL,line,11,765,0,0,0,5,2,0,0,1,2
2022,Hunt-Makar,COL,pairing,20,1133,2,2,4,5,2,3,0,2,4
2022,Englund-Hunt,COL,pairing,27,7438,2,6,15,56,20,13,3,6,15
2022,Stanley-Pionk,WPG,pairing,12,1157,0,0,0,16,6,5,2,1,2
2022,Di Giuseppe-Miller-Boeser,VAN,line,11,5741,4,8,14,62,9,7,4,2,4
2022,Fleury-Bogosian,TBL,pairing,11,4543,0,7,14,52,9,14,6,2,4
2022,Tanev-Gourde-Donato,SEA,line,33,2503,2,2,7,33,4,6,1,3,9
2022,Tatar-Hischier-Bratt,NJD,line,25,8269,9,5,10,23,15,12,2,5,10
2022,Panarin-Trocheck-Tarasenko,NYR,line,15,2822,2,4,11,13,8,13,2,3,9
2022,Lucic-Lewis-Ritchie,CGY,line,14,3797,2,4,8,51,12,8,2,1,2
2022,Heinen-Crosby-Guentzel,PIT,line,19,845,1,0,0,9,2,2,1,0,0
2022,Fischer-Boyd-Keller,ARI,line,18,696,1,0,0,4,2,3,3,0,0
2022,Andersson-Weegar,CGY,pairing,55,13192,12,11,24,93,31,31,7,11,22
2022,Bellemare-Colton-Maroon,TBL,line,11,1060,0,1,2,12,0,2,1,1,2
2022,Boldy-Hartman-Gaudreau,MIN,line,14,5642,3,8,19,29,13,9,6,7,17
2022,Podkolzin-Miller-Garland,VAN,line,11,3305,1,3,6,28,7,8,3,3,6
2022,Kubalik-Larkin-Raymond,DET,line,22,5256,2,3,6,36,9,13,5,4,8
2022,Barbashev-Schenn-Kyrou,STL,line,22,4212,4,3,6,28,10,9,0,4,8
2022,De Haan-Burns,CAR,pairing,18,698,0,0,0,1,2,1,0,1,2
2022,Lee-Horvat-Palmieri,NYI,line,11,878,1,0,0,8,1,1,0,2,4
2022,Robertson-Pavelski-Faksa,DAL,line,33,1238,1,3,6,7,2,6,0,1,2
2022,Gaudreau-Roslovic-Laine,CBJ,line,26,5514,5,6,12,27,17,18,5,10,18
2022,Vesey-Goodrow-Lafrenire,NYR,line,10,771,0,1,2,8,1,3,0,0,0
2022,Miller-Horvat-Mikheyev,VAN,line,13,1118,2,0,0,9,1,3,0,0,0
2022,Khaira-Dickinson-Blackwell,CHI,line,10,4227,2,4,11,29,14,16,4,6,15
2022,Fehervary-Van Riemsdyk,WSH,pairing,44,4878,3,1,2,41,9,10,5,3,6
2022,Cotter-Eichel-Kessel,VGK,line,19,644,0,0,0,9,3,1,2,0,0
2022,Lindell-Miller,DAL,pairing,43,4805,4,3,6,24,8,13,1,2,4
2022,Stephenson-Howden-Stone,VGK,line,10,3991,3,3,6,19,8,7,1,3,4
2022,Graves-Hamilton,NJD,pairing,53,3482,3,1,2,16,8,11,4,6,12
2022,Sttzle-Tkachuk-Joseph,OTT,line,17,4289,7,9,24,40,11,19,3,6,18
2022,Panarin-Trocheck-Kakko,NYR,line,28,1416,0,1,2,14,5,2,1,1,2
2022,Krug-Bortuzzo,STL,pairing,21,3035,1,3,6,32,8,7,2,1,2
2022,Mayo-Stecher,ARI,pairing,11,945,0,0,0,10,2,1,2,3,6
2022,Chatfield-Coghlan,CAR,pairing,12,5222,2,8,16,36,15,7,5,4,8
2022,Crouse-Boyd-Maccelli,ARI,line,17,661,1,1,2,3,2,2,1,0,0
2022,Olofsson-Jost-Mittelstadt,BUF,line,29,13136,11,6,12,40,19,22,15,9,18
2022,Armia-Evans-Dadonov,MTL,line,13,2768,3,3,9,26,3,11,2,2,7
2022,Van Riemsdyk-Frost-Tippett,PHI,line,33,15310,16,11,22,109,31,41,16,9,18
2022,Dumoulin-Petry,PIT,pairing,48,11508,9,12,22,166,22,28,12,6,14
2022,Rosen-Tucker,STL,pairing,15,8311,6,13,38,72,24,11,5,14,40
2022,Skjei-Pesce,CAR,pairing,67,65019,46,71,149,305,176,158,37,75,159
2022,Bouchard-Desharnais,EDM,pairing,15,1101,0,0,0,5,1,7,0,1,2
2022,Rodrigues-Cogliano-O'Connor,COL,line,13,623,0,0,0,4,2,1,1,0,0
2022,Schwartz-Wennberg-Bjorkstrand,SEA,line,29,10690,6,11,22,52,23,13,6,9,18
2022,Peterka-Cozens-Quinn,BUF,line,41,19568,15,28,59,80,47,40,20,20,43
2022,Boqvist-Haula-Mercer,NJD,line,11,779,2,0,0,3,0,4,0,2,4
2022,Hall-Coyle-Pastrnak,BOS,line,26,1105,0,1,2,6,0,2,2,1,2
2022,Barbashev-Schenn-Acciari,STL,line,11,3403,3,3,9,32,4,10,1,3,9
2022,Zboril-Carlo,BOS,pairing,11,2540,1,6,15,23,9,3,1,1,5
2022,Power-Fitzgerald,BUF,pairing,16,1598,3,2,4,6,5,7,0,2,4
2022,Kostin-Shore-Ryan,EDM,line,19,6317,4,5,13,59,11,13,2,7,17
2022,Lucchini-Kelly-Gambrell,OTT,line,10,4225,0,7,20,60,7,6,1,9,27
