team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CHI,2022,CHI,CHI,Team Level,other,64,0.42,0.45,0.47,6782.0,98.37,19.16,7.31,17.49,3.22,53.7,32.12,17.22,19.16,17.22,101.0,32.0,35.0,168.0,18.0,12.0,3.0,22.0,4.0,43.0,34.0,83.0,115.0,5.0,12.0,103.0,22.0,14.0,21.0,77.0,34.0,22.0,2.5,4.42,12.24,2.0,9.0,7.0,168.0,133.0,133.0,7.0,2.06,4.82,4.82,16.4,16.4,15.63,108.52,26.87,8.0,18.09,3.68,58.41,34.96,24.35,26.87,24.35,99.0,51.0,54.0,204.0,20.0,9.0,0.0,9.0,6.0,56.0,50.0,79.0,130.0,6.0,12.0,80.0,12.0,17.0,10.0,74.0,37.0,39.0,2.81,4.3,19.76,1.0,2.0,17.0,204.0,150.0,150.0,5.0,2.37,3.14,2.3,26.93,26.93,25.31
CHI,2022,CHI,CHI,Team Level,all,64,0.43,0.44,0.44,232893.0,1716.57,167.01,117.94,398.33,56.18,930.82,681.71,160.27,165.35,158.63,1710.0,642.0,775.0,3127.0,159.0,145.0,24.0,351.0,46.0,729.0,922.0,1551.0,2193.0,221.0,516.0,1884.0,1519.0,563.0,623.0,1732.0,427.0,193.0,47.41,53.99,65.61,56.0,49.0,54.0,3065.21,2352.0,2315.64,348.0,26.13,33.23,33.28,159.87,158.25,154.69,2176.53,225.55,153.41,504.9,71.61,1177.03,853.5,215.57,229.03,218.96,2167.0,819.0,1017.0,4003.0,227.0,217.0,38.0,371.0,63.0,1003.0,1105.0,1940.0,2759.0,223.0,511.0,1615.0,1160.0,472.0,450.0,2120.0,604.0,262.0,61.29,74.51,89.75,79.0,68.0,80.0,4106.4,2986.0,3051.32,210.0,33.79,48.94,49.01,210.33,213.63,208.06
CHI,2022,CHI,CHI,Team Level,5on5,64,0.41,0.43,0.43,191543.0,1329.63,112.76,86.83,322.63,43.92,717.05,541.79,109.57,111.09,107.93,1308.0,517.0,625.0,2450.0,107.0,112.0,16.0,282.0,36.0,560.0,728.0,1201.0,1718.0,194.0,455.0,1437.0,1420.0,474.0,517.0,1376.0,328.0,121.0,37.26,41.44,34.06,47.0,33.0,27.0,2388.21,1825.0,1788.64,312.0,17.98,24.04,24.09,106.65,105.02,103.65,1763.27,159.13,119.71,426.21,58.14,956.25,703.55,153.55,162.6,156.94,1761.0,662.0,829.0,3252.0,160.0,174.0,32.0,312.0,53.0,821.0,903.0,1601.0,2263.0,198.0,458.0,1269.0,1093.0,400.0,391.0,1765.0,485.0,173.0,51.27,59.96,47.9,70.0,49.0,41.0,3355.4,2423.0,2488.32,182.0,24.83,36.39,36.46,147.5,150.8,148.12
CHI,2022,CHI,CHI,Team Level,4on5,64,0.11,0.13,0.14,16711.0,43.22,4.21,2.2,6.12,1.23,13.79,29.47,4.14,4.21,4.14,54.0,3.0,9.0,66.0,6.0,0.0,0.0,3.0,0.0,6.0,42.0,48.0,51.0,6.0,15.0,154.0,59.0,59.0,27.0,42.0,7.0,8.0,1.02,1.01,2.18,2.0,3.0,1.0,66.0,57.0,57.0,25.0,0.51,0.0,0.0,4.72,4.72,4.64,249.36,32.87,22.77,52.61,8.07,145.18,77.5,31.05,32.87,31.05,255.0,84.0,119.0,458.0,42.0,29.0,5.0,44.0,4.0,117.0,103.0,213.0,297.0,12.0,27.0,154.0,15.0,9.0,31.0,235.0,64.0,40.0,5.83,7.73,19.31,8.0,14.0,20.0,458.0,339.0,339.0,5.0,5.92,8.29,9.14,29.65,29.65,28.38
CHI,2022,CHI,CHI,Team Level,5on4,64,0.82,0.83,0.82,17857.0,245.35,30.89,21.6,52.09,7.81,146.28,78.34,29.35,30.89,29.35,247.0,90.0,106.0,443.0,28.0,21.0,5.0,44.0,6.0,120.0,118.0,219.0,309.0,16.0,34.0,190.0,18.0,16.0,58.0,237.0,58.0,42.0,6.64,7.12,17.13,5.0,4.0,19.0,443.0,337.0,337.0,4.0,5.59,4.37,4.37,32.1,32.1,30.76,55.37,6.69,2.93,8.0,1.71,17.2,37.48,6.63,6.69,6.63,52.0,22.0,15.0,89.0,5.0,5.0,1.0,6.0,0.0,9.0,49.0,47.0,69.0,7.0,14.0,112.0,40.0,46.0,18.0,46.0,18.0,10.0,1.38,2.52,2.78,0.0,3.0,2.0,89.0,74.0,74.0,18.0,0.67,1.11,1.11,6.24,6.24,6.24
EDM,2022,EDM,EDM,Team Level,other,65,0.55,0.51,0.51,7602.0,111.98,26.21,8.15,18.24,3.47,58.41,35.51,25.32,26.21,25.32,115.0,35.0,47.0,197.0,27.0,6.0,1.0,24.0,1.0,50.0,42.0,88.0,123.0,8.0,16.0,110.0,17.0,25.0,19.0,64.0,51.0,35.0,2.51,6.41,17.28,1.0,9.0,17.0,197.0,150.0,150.0,6.0,2.32,1.82,2.24,26.29,26.29,25.77,108.94,21.51,7.89,20.58,4.5,56.92,35.61,20.3,21.51,20.3,117.0,30.0,40.0,187.0,22.0,10.0,1.0,23.0,3.0,47.0,42.0,95.0,125.0,7.0,14.0,99.0,24.0,20.0,16.0,76.0,43.0,28.0,2.81,5.13,13.57,4.0,6.0,12.0,187.0,147.0,147.0,7.0,2.29,2.5,2.5,21.3,21.3,20.32
EDM,2022,EDM,EDM,Team Level,all,65,0.55,0.52,0.51,235987.0,2146.25,242.38,153.29,473.26,69.25,1151.49,839.32,228.77,244.18,230.58,2181.0,748.0,963.0,3892.0,251.0,181.0,26.0,424.0,63.0,1016.0,994.0,1930.0,2678.0,257.0,559.0,1955.0,1452.0,584.0,697.0,1957.0,723.0,249.0,59.93,89.36,93.1,73.0,104.0,74.0,3945.39,2929.0,2962.14,399.0,34.18,41.36,41.54,235.02,236.91,228.79,2038.15,194.43,138.97,473.38,68.06,1123.92,809.24,188.49,194.15,188.21,2064.0,744.0,838.0,3646.0,214.0,165.0,33.0,474.0,55.0,937.0,963.0,1850.0,2594.0,254.0,552.0,1921.0,1641.0,553.0,655.0,2074.0,554.0,180.0,62.42,66.51,65.51,71.0,70.0,73.0,3621.47,2808.0,2795.06,358.0,31.0,31.6,31.65,193.79,193.34,189.53
EDM,2022,EDM,EDM,Team Level,5on5,65,0.54,0.52,0.51,188951.0,1636.44,151.46,111.7,383.57,53.45,882.59,661.23,144.95,153.27,146.76,1652.0,592.0,776.0,3020.0,148.0,135.0,14.0,346.0,50.0,781.0,784.0,1504.0,2096.0,224.0,493.0,1457.0,1364.0,480.0,578.0,1586.0,516.0,142.0,49.3,64.14,38.02,62.0,65.0,21.0,3073.39,2244.0,2277.14,351.0,23.21,27.58,27.34,147.33,149.22,145.72,1554.37,127.88,100.34,376.27,51.21,850.92,636.37,124.94,127.6,124.67,1562.0,581.0,657.0,2800.0,138.0,124.0,26.0,374.0,37.0,718.0,752.0,1424.0,2005.0,226.0,493.0,1469.0,1518.0,470.0,538.0,1625.0,418.0,100.0,49.51,50.12,28.26,60.0,49.0,29.0,2775.47,2143.0,2130.06,317.0,20.7,22.8,23.05,125.53,125.09,123.49
EDM,2022,EDM,EDM,Team Level,4on5,65,0.16,0.14,0.16,20608.0,66.61,8.01,3.45,9.03,2.01,20.36,45.15,7.97,8.01,7.97,72.0,16.0,10.0,98.0,10.0,3.0,1.0,4.0,1.0,15.0,55.0,62.0,78.0,10.0,20.0,189.0,45.0,56.0,44.0,51.0,30.0,7.0,1.83,3.82,2.35,2.0,7.0,1.0,98.0,88.0,88.0,40.0,0.79,0.92,0.92,7.88,7.88,7.87,333.71,41.9,29.03,70.72,11.07,203.11,106.17,40.11,41.9,40.11,340.0,122.0,133.0,595.0,50.0,31.0,6.0,72.0,14.0,162.0,133.0,290.0,412.0,12.0,24.0,195.0,30.0,29.0,66.0,329.0,84.0,49.0,8.84,10.17,22.88,5.0,14.0,31.0,595.0,462.0,462.0,2.0,7.61,6.3,6.09,43.41,43.41,42.2
EDM,2022,EDM,EDM,Team Level,5on4,65,0.95,0.9,0.89,18826.0,331.21,56.7,30.0,62.41,10.33,190.12,97.43,50.53,56.7,50.53,342.0,105.0,130.0,577.0,66.0,37.0,10.0,50.0,11.0,170.0,113.0,276.0,381.0,15.0,30.0,199.0,26.0,23.0,56.0,256.0,126.0,65.0,6.28,14.97,35.45,8.0,23.0,35.0,577.0,447.0,447.0,2.0,7.85,11.04,11.04,53.52,53.52,49.43,41.13,3.15,1.7,5.81,1.27,12.98,31.09,3.13,3.15,3.13,45.0,11.0,8.0,64.0,4.0,0.0,0.0,5.0,1.0,10.0,36.0,41.0,52.0,9.0,21.0,158.0,69.0,34.0,35.0,44.0,9.0,3.0,1.27,1.09,0.8,2.0,1.0,1.0,64.0,56.0,56.0,32.0,0.4,0.0,0.0,3.55,3.55,3.51
